Sample_ID,ID,Crustacean Present,GI_tract_location,Amylase,Maltase,Lipase,NAG,AP,Trypsin,Amino_Peptidase
EA1,1,Yes,Anterior Intestine,Not Detectable,0.5600559414,0.05594225901,64.49046077,156.2509489,0.767357747,0.6789926951
EM1,1,Yes,Middle Intestine,0.324786,0.4117283951,0.01131218769,105.1767034,223.1314754,1.123875433,0.2491349481
EP1,1,Yes,Posterior Intestine,0.757977,0.4508230453,0.008645034001,343.7461831,164.1401337,2.52560073,0.9326220684
EA2,2,No,Anterior Intestine,0.231909,0.279526749,0.01837231267,54.68057984,100.8895343,0.434544406,0.4347558631
EM2,2,No,Middle Intestine,0.487749,0.07983539095,0.008136497856,70.3771835,85.39747779,0.8381391772,1.066666667
EP2,2,No,Posterior Intestine,Not Detectable,0.04453703704,0.00002844161178,66.55974948,135.8175547,0.5627527874,0.4159477124
EA3,3,Yes,Anterior Intestine,9.142009,1.166350309,0.006470919279,44.52897716,336.8020732,1.171868512,1.646839677
EM3,3,Yes,Middle Intestine,0.147493,0.7349202675,Not Detectable,28.952404,218.946889,0.8956747405,0.7261707036
EP3,3,Yes,Posterior Intestine,0.135962,0.1235223765,0.0100049502,25.96239597,176.2131902,Not Detectable,1.704759708
EA4,4,Yes,Anterior Intestine,29.69802,0.3960558128,Not Detectable,63.8919103,159.6334377,0.9399653979,0.4811418685
EM4,4,Yes,Middle Intestine,16.29086,0.3590447531,Not Detectable,62.83341175,147.6868001,1.206019223,0.3840745867
EP4,4,Yes,Posterior Intestine,0.689336,0.1349146091,Not Detectable,149.9876285,290.8518693,1.288852364,0.5822914264
EA5,5,No,Anterior Intestine,16.49145,0.5144032922,0.009607403637,43.83925759,148.7211171,0.9334871203,0.4513648597
EM5,5,No,Middle Intestine,38.42479,0.6914274691,0.0258586432,61.06613486,213.5915446,1.427906574,0.8506228374
EP5,5,No,Posterior Intestine,1.24724,0.1069958848,Not Detectable,,,,
EA6,6,No,Anterior Intestine,0.67906,0.2846450617,0.005384144971,44.08809252,243.8789424,1.326931949,0.6111880046
EM6,6,No,Middle Intestine,1.717179,0.1798611111,0.0005576269783,39.77547365,112.0260243,0.7579238754,0.5492387543
EP6,6,No,Posterior Intestine,0.71141,0.06027777778,0.0005093898876,33.4930017,142.4177396,0.9680795848,0.1630449827
EA7,7,No,Anterior Intestine,29.61432,0.3991358025,0.03639688884,42.15058281,168.4709012,1.8733391,0.8961707036
EM7,7,No,Middle Intestine,7.302564,0.1312757202,0.005990710238,60.9351827,193.3996808,0.6926566705,0.5456362937
EP7,7,No,Posterior Intestine,0.080556,0.1305298354,0.01309951507,54.76715817,151.5598382,0.8250672818,0.6561514802
EA8,8,No,Anterior Intestine,3.133618,0.1954475309,0.001289603797,39.41925018,60.63585572,0.2895424837,0.3941176471
EM8,8,No,Middle Intestine,14.58868,0.5616640947,0.01183875444,53.81583789,155.5051682,1.280036524,0.7136678201
EP8,8,No,Posterior Intestine,Not Detectable,0.09444444444,0.006414427256,62.83255527,120.3591526,0.9020588235,0.8047058824
EM9,9,Yes,Middle Intestine,14.1833,0.4457407407,0.00582328868,82.11162855,193.4445121,1.212929642,0.8098961938
EP9,9,Yes,Posterior Intestine,0.037094,0.04752057613,Not Detectable,56.35452955,102.2712297,0.4953325644,0.2774625144
EA10,10,No,Anterior Intestine,0.362906,0.5748302469,0.0001880707425,67.31560574,200.350025,0.592875817,0.4949288735
EM10,10,No,Middle Intestine,18.19615,0.1617541152,0.0000770079851,12.36901012,64.66146179,0.9496347559,0.4434063822
EP10,10,No,Posterior Intestine,0.088462,0.06802983539,Not Detectable,12.62154736,147.0845325,0.599538639,0.107881584